"","s"
"238","2 Peter 3:17 
 Ye therefore, beloved, seeing ye know these things before, beware lest ye also, being led away with the error of the wicked, fall from your own stedfastness. 
"
"239","1 John 2:5 
 But whoso keepeth his word, in him verily is the love of God perfected: hereby know we that we are in him. 
"
"240","1 John 2:10 
 He that loveth his brother abideth in the light, and there is none occasion of stumbling in him. 
"
"241","1 John 2:15 
 Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him. 
"
"242","1 John 3:1 
 Behold, what manner of love the Father hath bestowed upon us, that we should be called the sons of God: therefore the world knoweth us not, because it knew him not. 
"
"243","1 John 3:2 
 Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is. 
"
"244","1 John 3:10 
 In this the children of God are manifest, and the children of the devil: whosoever doeth not righteousness is not of God, neither he that loveth not his brother. 
"
"245","1 John 3:11 
 For this is the message that ye heard from the beginning, that we should love one another. 
"
"246","1 John 3:14 
 We know that we have passed from death unto life, because we love the brethren. He that loveth not his brother abideth in death. 
"
"247","1 John 3:16 
 Hereby perceive we the love of God, because he laid down his life for us: and we ought to lay down our lives for the brethren. 
"
"248","1 John 3:17 
 But whoso hath this world's good, and seeth his brother have need, and shutteth up his bowels of compassion from him, how dwelleth the love of God in him? 
"
"249","1 John 3:18 
 My little children, let us not love in word, neither in tongue; but in deed and in truth. 
"
"250","1 John 3:21 
 Beloved, if our heart condemn us not, then have we confidence toward God. 
"
"251","1 John 3:23 
 And this is his commandment, That we should believe on the name of his Son Jesus Christ, and love one another, as he gave us commandment. 
"
"252","1 John 4:1 
 Beloved, believe not every spirit, but try the spirits whether they are of God: because many false prophets are gone out into the world. 
"
"253","1 John 4:7 
 Beloved, let us love one another: for love is of God; and every one that loveth is born of God, and knoweth God. 
"
"254","1 John 4:8 
 He that loveth not knoweth not God; for God is love. 
"
"255","1 John 4:9 
 In this was manifested the love of God toward us, because that God sent his only begotten Son into the world, that we might live through him. 
"
"256","1 John 4:10 
 Herein is love, not that we loved God, but that he loved us, and sent his Son to be the propitiation for our sins. 
"
"257","1 John 4:11 
 Beloved, if God so loved us, we ought also to love one another. 
"
"258","1 John 4:12 
 No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us. 
"
"259","1 John 4:16 
 And we have known and believed the love that God hath to us. God is love; and he that dwelleth in love dwelleth in God, and God in him. 
"
"260","1 John 4:17 
 Herein is our love made perfect, that we may have boldness in the day of judgment: because as he is, so are we in this world. 
"
"261","1 John 4:18 
 There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love. 
"
"262","1 John 4:19 
 We love him, because he first loved us. 
"
"263","1 John 4:20 
 If a man say, I love God, and hateth his brother, he is a liar: for he that loveth not his brother whom he hath seen, how can he love God whom he hath not seen? 
"
"264","1 John 4:21 
 And this commandment have we from him, That he who loveth God love his brother also. 
"
"265","1 John 5:1 
 Whosoever believeth that Jesus is the Christ is born of God: and every one that loveth him that begat loveth him also that is begotten of him. 
"
"266","1 John 5:2 
 By this we know that we love the children of God, when we love God, and keep his commandments. 
"
"267","1 John 5:3 
 For this is the love of God, that we keep his commandments: and his commandments are not grievous. 
"
"268","2 John 1:1 
 The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth; 
"
"269","2 John 1:3 
 Grace be with you, mercy, and peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love. 
"
"270","2 John 1:5 
 And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another. 
"
"271","2 John 1:6 
 And this is love, that we walk after his commandments. This is the commandment, That, as ye have heard from the beginning, ye should walk in it. 
"
"272","3 John 1:1 
 The elder unto the wellbeloved Gaius, whom I love in the truth. 
"
"273","3 John 1:2 
 Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth. 
"
"274","3 John 1:5 
 Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers; 
"
"275","3 John 1:9 
 I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not. 
"
"276","3 John 1:11 
 Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God. 
"
"277","Jude 1:2 
 Mercy unto you, and peace, and love, be multiplied. 
"
"278","Jude 1:3 
 Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort you that ye should earnestly contend for the faith which was once delivered unto the saints. 
"
"279","Jude 1:17 
 But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ; 
"
"280","Jude 1:20 
 But ye, beloved, building up yourselves on your most holy faith, praying in the Holy Ghost, 
"
"281","Jude 1:21 
 Keep yourselves in the love of God, looking for the mercy of our Lord Jesus Christ unto eternal life. 
"
"282","Revelation 1:5 
 And from Jesus Christ, who is the faithful witness, and the first begotten of the dead, and the prince of the kings of the earth. Unto him that loved us, and washed us from our sins in his own blood, 
"
"283","Revelation 2:4 
 Nevertheless I have somewhat against thee, because thou hast left thy first love. 
"
"284","Revelation 3:9 
 Behold, I will make them of the synagogue of Satan, which say they are Jews, and are not, but do lie; behold, I will make them to come and worship before thy feet, and to know that I have loved thee. 
"
"285","Revelation 3:19 
 As many as I love, I rebuke and chasten: be zealous therefore, and repent. 
"
"286","Revelation 12:11 
 And they overcame him by the blood of the Lamb, and by the word of their testimony; and they loved not their lives unto the death. 
"
"287","Revelation 20:9 
 And they went up on the breadth of the earth, and compassed the camp of the saints about, and the beloved city: and fire came down from God out of heaven, and devoured them. 
"
"288","Revelation 22:15 
 For without are dogs, and sorcerers, and whoremongers, and murderers, and idolaters, and whosoever loveth and maketh a lie. 
"
"289","Psalms 4:2 
 O ye sons of men, how long will ye turn my glory into shame? how long will ye love vanity, and seek after leasing? Selah. 
"
"290","Psalms 5:11 
 But let all those that put their trust in thee rejoice: let them ever shout for joy, because thou defendest them: let them also that love thy name be joyful in thee. 
"
"291","Psalms 11:5 
 The LORD trieth the righteous: but the wicked and him that loveth violence his soul hateth. 
"
"292","Psalms 11:7 
 For the righteous LORD loveth righteousness; his countenance doth behold the upright. 
"
"293","Psalms 18:1 
 I will love thee, O LORD, my strength. 
"
"294","Psalms 26:8 
 LORD, I have loved the habitation of thy house, and the place where thine honour dwelleth. 
"
"295","Psalms 31:23 
 O love the LORD, all ye his saints: for the LORD preserveth the faithful, and plentifully rewardeth the proud doer. 
"
"296","Psalms 33:5 
 He loveth righteousness and judgment: the earth is full of the goodness of the LORD. 
"
"297","Psalms 34:12 
 What man is he that desireth life, and loveth many days, that he may see good? 
"
"298","Psalms 37:28 
 For the LORD loveth judgment, and forsaketh not his saints; they are preserved for ever: but the seed of the wicked shall be cut off. 
"
"299","Psalms 38:11 
 My lovers and my friends stand aloof from my sore; and my kinsmen stand afar off. 
"
"300","Psalms 40:16 
 Let all those that seek thee rejoice and be glad in thee: let such as love thy salvation say continually, The LORD be magnified. 
"
"301","Psalms 45:7 
 Thou lovest righteousness, and hatest wickedness: therefore God, thy God, hath anointed thee with the oil of gladness above thy fellows. 
"
"302","Psalms 47:4 
 He shall choose our inheritance for us, the excellency of Jacob whom he loved. Selah. 
"
"303","Psalms 52:3 
 Thou lovest evil more than good; and lying rather than to speak righteousness. Selah. 
"
"304","Psalms 52:4 
 Thou lovest all devouring words, O thou deceitful tongue. 
"
"305","Psalms 60:5 
 That thy beloved may be delivered; save with thy right hand, and hear me. 
"
"306","Psalms 69:36 
 The seed also of his servants shall inherit it: and they that love his name shall dwell therein. 
"
"307","Psalms 70:4 
 Let all those that seek thee rejoice and be glad in thee: and let such as love thy salvation say continually, Let God be magnified. 
"
"308","Psalms 78:68 
 But chose the tribe of Judah, the mount Zion which he loved. 
"
"309","Psalms 87:2 
 The LORD loveth the gates of Zion more than all the dwellings of Jacob. 
"
"310","Psalms 88:18 
 Lover and friend hast thou put far from me, and mine acquaintance into darkness. 
"
"311","Psalms 91:14 
 Because he hath set his love upon me, therefore will I deliver him: I will set him on high, because he hath known my name. 
"
